date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:22:46	63726/63726	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Apr%202022%2006:22:42%20GMT	http://kamleshyadav.com/healthcare/healthcare/index.html	C:/Users/arsal/OneDrive/Desktop/medi/kamleshyadav.com/healthcare/healthcare/index.html	(from )
10:22:47	69/69	---M-Z	200	added ('OK')	text/plain	date:Sun,%2010%20Apr%202022%2006:22:42%20GMT	http://kamleshyadav.com/robots.txt		(from )
10:22:47	144877/144877	---MCZ	200	added ('OK')	text/css	date:Sun,%2010%20Apr%202022%2006:22:43%20GMT	http://kamleshyadav.com/healthcare/healthcare/assets/css/bootstrap.min.css	C:/Users/arsal/OneDrive/Desktop/medi/kamleshyadav.com/healthcare/healthcare/assets/css/bootstrap.min.css	(from http://kamleshyadav.com/healthcare/healthcare/index.html)
10:22:47	19779/19779	---MCZ	200	added ('OK')	text/css	date:Sun,%2010%20Apr%202022%2006:22:44%20GMT	http://kamleshyadav.com/healthcare/healthcare/assets/css/swiper.min.css	C:/Users/arsal/OneDrive/Desktop/medi/kamleshyadav.com/healthcare/healthcare/assets/css/swiper.min.css	(from http://kamleshyadav.com/healthcare/healthcare/index.html)
10:22:48	58578/58578	---MCZ	200	added ('OK')	text/css	date:Sun,%2010%20Apr%202022%2006:22:44%20GMT	http://kamleshyadav.com/healthcare/healthcare/assets/css/all.min.css	C:/Users/arsal/OneDrive/Desktop/medi/kamleshyadav.com/healthcare/healthcare/assets/css/all.min.css	(from http://kamleshyadav.com/healthcare/healthcare/index.html)
10:22:48	5792/5792	---MCZ	200	added ('OK')	text/css	date:Sun,%2010%20Apr%202022%2006:22:44%20GMT	http://kamleshyadav.com/healthcare/healthcare/assets/css/font.css	C:/Users/arsal/OneDrive/Desktop/medi/kamleshyadav.com/healthcare/healthcare/assets/css/font.css	(from http://kamleshyadav.com/healthcare/healthcare/index.html)
10:22:49	28490/28490	---MCZ	200	added ('OK')	text/css	date:Sun,%2010%20Apr%202022%2006:22:45%20GMT	http://kamleshyadav.com/healthcare/healthcare/assets/css/style.css	C:/Users/arsal/OneDrive/Desktop/medi/kamleshyadav.com/healthcare/healthcare/assets/css/style.css	(from http://kamleshyadav.com/healthcare/healthcare/index.html)
10:22:49	7333/7333	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Apr%202022%2006:22:45%20GMT	http://kamleshyadav.com/healthcare/healthcare/assets/images/hc-logo.svg	C:/Users/arsal/OneDrive/Desktop/medi/kamleshyadav.com/healthcare/healthcare/assets/images/hc-logo.svg	(from http://kamleshyadav.com/healthcare/healthcare/index.html)
10:22:52	243295/243295	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Apr%202022%2006:22:45%20GMT	http://kamleshyadav.com/healthcare/healthcare/index_new.html	C:/Users/arsal/OneDrive/Desktop/medi/kamleshyadav.com/healthcare/healthcare/index_new.html	(from http://kamleshyadav.com/healthcare/healthcare/index.html)
10:22:53	3876/3876	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Apr%202022%2006:22:49%20GMT	http://kamleshyadav.com/healthcare/healthcare/assets/images/service-iocn1.png	C:/Users/arsal/OneDrive/Desktop/medi/kamleshyadav.com/healthcare/healthcare/assets/images/service-iocn1.png	(from http://kamleshyadav.com/healthcare/healthcare/index.html)
10:22:54	2210/2210	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Apr%202022%2006:22:50%20GMT	http://kamleshyadav.com/healthcare/healthcare/assets/images/service-iocn2.png	C:/Users/arsal/OneDrive/Desktop/medi/kamleshyadav.com/healthcare/healthcare/assets/images/service-iocn2.png	(from http://kamleshyadav.com/healthcare/healthcare/index.html)
10:22:54	3868/3868	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Apr%202022%2006:22:50%20GMT	http://kamleshyadav.com/healthcare/healthcare/assets/images/service-iocn3.png	C:/Users/arsal/OneDrive/Desktop/medi/kamleshyadav.com/healthcare/healthcare/assets/images/service-iocn3.png	(from http://kamleshyadav.com/healthcare/healthcare/index.html)
10:22:55	3468/3468	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Apr%202022%2006:22:51%20GMT	http://kamleshyadav.com/healthcare/healthcare/assets/images/service-iocn4.png	C:/Users/arsal/OneDrive/Desktop/medi/kamleshyadav.com/healthcare/healthcare/assets/images/service-iocn4.png	(from http://kamleshyadav.com/healthcare/healthcare/index.html)
10:22:56	4215/4215	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Apr%202022%2006:22:51%20GMT	http://kamleshyadav.com/healthcare/healthcare/assets/images/hc-signature.png	C:/Users/arsal/OneDrive/Desktop/medi/kamleshyadav.com/healthcare/healthcare/assets/images/hc-signature.png	(from http://kamleshyadav.com/healthcare/healthcare/index.html)
10:22:57	6947/6947	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Apr%202022%2006:22:52%20GMT	http://kamleshyadav.com/healthcare/healthcare/assets/images/team1.jpg	C:/Users/arsal/OneDrive/Desktop/medi/kamleshyadav.com/healthcare/healthcare/assets/images/team1.jpg	(from http://kamleshyadav.com/healthcare/healthcare/index.html)
10:22:59	13558/13558	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Apr%202022%2006:22:53%20GMT	http://kamleshyadav.com/healthcare/healthcare/assets/images/team2.jpg	C:/Users/arsal/OneDrive/Desktop/medi/kamleshyadav.com/healthcare/healthcare/assets/images/team2.jpg	(from http://kamleshyadav.com/healthcare/healthcare/index.html)
10:22:59	13506/13506	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Apr%202022%2006:22:54%20GMT	http://kamleshyadav.com/healthcare/healthcare/assets/images/team3.jpg	C:/Users/arsal/OneDrive/Desktop/medi/kamleshyadav.com/healthcare/healthcare/assets/images/team3.jpg	(from http://kamleshyadav.com/healthcare/healthcare/index.html)
10:23:01	12189/12189	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Apr%202022%2006:22:55%20GMT	http://kamleshyadav.com/healthcare/healthcare/assets/images/team4.jpg	C:/Users/arsal/OneDrive/Desktop/medi/kamleshyadav.com/healthcare/healthcare/assets/images/team4.jpg	(from http://kamleshyadav.com/healthcare/healthcare/index.html)
